date, pm25, pm10, o3, no2, so2, co
2018/12/17, 103, , 75, 36, 10, 9
2018/12/18, 106, , 35, 21, 2, 5
2018/12/19, 54, , 41, 24, 14, 4
2018/12/20, 40, , 52, 34, 12, 7
2018/12/21, 63, , 73, 37, 16, 8
2018/12/22, 106, , 88, 31, 12, 8
2018/12/23, 101, , 77, 31, 16, 8
2018/12/24, 89, , 115, 29, 17, 10
2018/12/25, 158, , 48, 25, 4, 6
2018/12/26, 78, , 38, 22, 2, 6
2018/12/27, 47, , 37, 23, 2, 5
2018/12/28, 45, , 55, 22, 7, 5
2018/12/29, 66, , 37, 15, 6, 4
2018/12/30, 60, , , , , 
2018/7/10, 45, 19, 44, 15, 1, 4
2018/7/11, 56, 22, 48, 21, 3, 5
2018/7/12, 58, 30, 51, 19, , 5
2018/7/13, 76, 42, 69, 19, 9, 5
2018/7/14, 46, 20, 48, 20, 2, 7
2018/7/15, 83, 49, , , , 
2018/7/16, 85, 55, , , , 
2018/7/26, 62, , 73, 17, 2, 4
2018/7/27, 71, , 69, 20, 2, 4
2018/9/3, 74, , 56, 21, 4, 8
2018/9/4, 66, , 65, 21, 12, 8
2018/9/5, 57, , 59, 24, 7, 8
2018/9/6, 45, , 29, 18, 2, 8
2018/9/9, 81, , 65, 13, 6, 7
2018/9/10, 66, , 57, 15, 6, 7
2018/9/11, 65, , 43, 21, 3, 8
2018/9/12, 70, , 60, 26, 4, 9
2018/9/13, 64, , 55, 28, 3, 9
2018/9/14, 51, , 46, 15, 3, 7
2018/9/15, 45, , 42, 18, 3, 7
2018/9/16, 76, , 39, 18, 6, 9
2018/9/24, 60, , , 16, 4, 8
2018/9/25, 52, , , 16, 8, 8
2018/9/26, 54, , , 13, 4, 8
2018/9/27, 54, , , , , 
2018/9/28, 50, , , , , 
2018/9/29, 60, , , , , 
2018/9/30, 54, , , , , 
2018/5/20, 67, 21, 89, 15, 2, 5
2018/5/21, 77, 30, 73, 25, 7, 7
2018/5/23, 77, 36, 96, 24, 4, 7
2018/5/24, 64, 33, 72, 24, 10, 7
2018/5/25, 66, 35, 54, 18, 15, 5
2018/5/26, 55, 24, 76, 16, 10, 4
2018/5/27, 48, 20, , 19, 4, 4
2018/6/5, 64, 35, 110, 20, 8, 6
2018/6/7, 95, 39, 100, 18, 7, 5
2018/6/8, 63, 28, 71, 17, 7, 5
2018/6/9, 70, 27, 58, 14, 7, 4
2018/6/10, 47, 20, 73, 11, 2, 4
2018/6/11, 60, 26, 53, 18, 7, 6
2018/6/12, 74, 26, 26, 28, 8, 7
2018/6/13, 47, 12, 13, 25, 2, 7
2018/6/14, 55, 19, 28, 26, 3, 7
2018/6/15, 63, 23, 38, 28, 2, 8
2018/6/22, 37, 11, 28, 14, 3, 4
2018/6/24, 61, 25, , , , 
2018/6/25, 55, 29, 59, 25, 2, 6
2018/6/26, 58, 23, 63, 22, 2, 7
2018/6/27, 50, 17, 63, 18, 2, 6
2018/6/28, 47, 18, 50, 22, 3, 6
2016/10/28, 31, 20, 48, 16, 5, 4
2016/10/29, 40, , 50, 14, 3, 4
2020/3/18, , 38, 22, 15, 4, 3
2020/2/16, , 31, 33, 18, 5, 5
2019/12/31, , 15, 16, 6, , 2
2020/1/19, , 24, 7, 25, 3, 7
2019/6/30, , 11, 31, 17, 1, 3
2019/7/17, , 34, 60, 18, 4, 4
2019/5/12, , 64, 90, 21, 2, 9
2019/6/4, , 15, , , , 
2019/6/24, , 16, 40, 19, 2, 5
2019/1/21, , 30, 53, 23, 2, 6
2019/3/2, , 33, 71, , 3, 5
2019/3/7, , 28, 68, 14, 3, 4
2018/7/3, , 28, 48, 16, 2, 5
2018/7/4, , 37, 68, 26, 7, 7
2018/7/5, , 32, 36, 14, 3, 4
2018/7/6, , 22, 29, 16, 12, 4
2018/7/7, , 15, 55, 13, 3, 3
2018/7/8, , 20, 46, 13, 13, 4
2018/7/9, , 33, 62, 18, 2, 5
2018/7/17, , 30, 58, 14, 5, 3
2018/7/18, , 19, 77, 16, 3, 3
2018/8/2, , 16, 38, 14, 2, 2
2018/8/3, , 16, 21, 16, 2, 3
2018/8/4, , 16, 32, 17, 5, 4
2018/8/5, , 16, 53, 14, 2, 3
2018/8/6, , 10, 32, 15, 2, 3
2018/8/7, , 23, 71, 17, 2, 4
2018/8/8, , 23, 68, 19, 2, 6
2018/8/9, , 23, 48, 18, 2, 6
2018/8/10, , 20, 62, 25, 4, 7
2018/8/11, , 23, 55, 19, 2, 7
2018/8/12, , 14, 34, 19, 2, 7
2018/8/13, , 18, 40, 17, 1, 7
2018/8/14, , 19, 48, 15, 5, 5
2018/8/15, , 24, 46, 22, 4, 7
2018/8/16, , 24, 66, 22, 2, 8
2018/8/17, , 23, 76, 19, 3, 6
2018/8/18, , 19, 64, 14, 2, 5
2018/8/19, , 14, 79, 12, 3, 5
2018/8/20, , 22, 50, 18, 3, 5
2018/8/21, , 13, 23, 20, 2, 
2018/8/22, , 18, 39, 16, 2, 6
2018/8/23, , 20, 45, 18, 8, 7
2018/8/24, , 22, 56, 24, 3, 8
2018/8/25, , 25, 66, 16, 15, 6
2018/8/26, , 14, 55, 12, 2, 5
2018/8/27, , 23, 56, 20, 5, 7
2018/8/28, , 12, 29, 19, 4, 7
2018/8/29, , 16, 36, 25, 2, 9
2018/5/16, , 36, 62, 23, 3, 6
2018/5/17, , 30, 65, 18, 7, 5
2018/5/18, , 30, 67, 26, 5, 6
2018/5/19, , 31, 81, 18, 4, 5
2018/5/22, , 29, 75, 26, 6, 7
2018/5/28, , 25, , 25, 5, 6
2018/5/29, , 25, 44, 25, 4, 7
2018/5/30, , 30, 54, 23, 4, 6
2018/5/31, , 28, 50, 21, 1, 5
2018/6/1, , 36, 73, 20, 17, 5
2018/6/2, , 35, 70, 12, 4, 4
2018/6/3, , 24, 43, 9, 8, 3
2018/6/4, , 23, 60, 13, 2, 4
2018/6/6, , 44, 113, 22, 22, 6
2018/6/16, , 24, 60, 20, 2, 6
2018/6/17, , 10, 34, 16, 2, 6
2018/6/18, , 11, 14, 18, 1, 6
2018/6/19, , 8, 36, 17, 2, 6
2018/6/20, , 18, 39, 20, 2, 5
2018/6/21, , 22, 34, 22, 2, 7
