date,pm25,pm10,o3,no2,so2,co
2018/9/1,71,,,,,
2018/9/3,88,57,48,25,6,10
2018/9/4,87,42,35,21,4,8
2018/9/5,64,36,31,27,3,10
2018/9/6,62,48,43,23,8,9
2018/9/7,79,,,,,
2018/9/12,96,36,32,32,3,11
2018/9/13,63,46,44,22,3,10
2018/9/14,70,36,47,20,4,8
2018/9/15,56,35,40,20,9,7
2018/9/16,74,47,35,28,6,10
2018/9/17,76,57,44,35,5,15
2018/9/18,100,52,45,28,7,12
2018/9/19,91,44,44,18,7,9
2018/9/20,61,49,54,25,4,12
2018/9/21,70,38,39,22,4,9
2018/9/22,67,26,31,15,3,7
2018/9/23,50,42,36,21,3,11
2018/9/24,67,47,37,25,3,11
2018/9/25,73,44,35,22,4,11
2018/9/26,68,48,39,24,4,12
2018/9/27,77,42,33,21,3,10
2018/9/28,59,41,21,20,3,9
2018/9/29,53,37,34,11,2,6
2018/9/30,56,36,26,17,2,8
2018/4/1,66,64,41,34,6,12
2018/4/2,88,71,48,34,5,12
2018/4/3,102,68,41,28,5,13
2018/4/4,97,54,62,26,3,9
2018/4/5,98,62,39,43,4,14
2018/4/6,116,65,54,35,6,14
2018/4/7,104,60,49,28,6,12
2018/4/8,93,68,42,37,5,12
2018/4/9,97,55,30,27,4,10
2018/4/10,83,,,,,
2018/4/14,59,69,41,26,24,9
2018/4/15,104,66,38,35,26,12
2018/4/16,92,59,42,37,8,11
2018/4/17,82,69,7,46,8,17
2018/4/18,57,68,,30,5,9
2018/4/19,82,54,61,23,4,7
2018/4/20,78,62,62,30,6,8
2018/4/21,83,54,77,25,4,8
2018/4/22,102,57,59,27,5,9
2018/4/23,88,66,43,33,7,9
2018/4/24,108,53,47,38,4,12
2018/4/25,93,73,61,35,15,12
2018/4/26,128,63,71,32,5,11
2018/4/27,104,56,70,28,5,10
2018/4/28,95,57,83,26,4,11
2018/4/29,106,54,51,31,4,12
2018/4/30,91,43,53,21,4,7
2018/5/1,67,45,39,28,7,10
2018/5/2,69,57,68,30,7,10
2018/5/3,96,57,58,34,5,11
2018/5/4,103,32,36,18,1,7
2018/5/5,64,23,31,13,6,5
2018/5/6,51,29,34,14,2,6
2018/5/7,47,28,17,25,15,8
2018/5/8,47,51,57,26,8,9
2018/5/9,60,55,70,24,5,8
2018/5/10,95,51,76,28,5,10
2018/5/11,80,54,78,26,5,9
2018/5/12,98,55,90,25,4,8
2018/5/13,102,65,59,25,25,8
2018/5/14,117,,55,24,21,8
2018/5/16,9,,43,15,14,4
2018/5/19,85,32,63,21,5,8
2018/5/20,66,,53,29,7,12
2018/5/24,63,59,44,23,14,10
2018/5/25,84,51,61,25,4,9
2018/5/26,70,47,73,24,8,9
2018/5/27,72,64,50,35,5,12
2018/5/28,88,67,47,33,10,12
2018/5/29,83,82,44,35,10,15
2018/5/30,102,65,41,29,6,10
2018/5/31,76,64,52,26,6,11
2018/6/1,84,43,47,13,2,6
2018/6/2,57,37,32,11,2,6
2018/6/3,41,37,34,17,3,7
2018/6/4,34,59,93,25,15,8
2018/6/5,85,57,80,25,20,7
2018/6/6,80,58,63,21,13,6
2018/6/7,87,47,45,20,4,6
2018/6/8,64,38,40,21,6,7
2018/6/9,66,43,58,18,4,8
2018/6/10,72,49,48,25,5,9
2018/6/11,73,57,32,36,16,11
2018/6/12,104,30,24,27,5,10
2018/6/13,68,32,22,30,5,11
2018/6/14,74,54,38,36,5,13
2018/6/15,111,,,,,
2018/6/26,82,51,48,28,4,9
2018/6/27,81,16,20,18,3,5
2018/6/28,46,48,13,31,14,14
2018/6/29,120,,,,,
2018/1/8,59,73,33,38,10,14
2018/1/9,103,112,59,52,14,23
2018/1/10,148,98,46,48,10,20
2018/1/11,132,60,40,33,4,11
2018/1/12,84,88,31,32,8,16
2018/1/13,97,50,32,23,9,9
2018/1/14,79,77,19,38,27,17
2018/1/15,101,109,31,39,20,15
2018/1/16,122,74,38,35,4,11
2018/1/17,98,79,49,40,20,12
2018/1/18,117,96,42,50,7,17
2018/1/19,133,84,39,38,8,16
2018/1/20,112,,,,,
2018/1/23,113,59,30,25,7,10
2018/1/24,84,45,30,24,4,8
2018/1/25,64,67,37,33,6,12
2018/1/26,109,56,40,31,7,10
2018/1/27,97,22,18,13,9,5
2018/1/28,36,23,22,12,,4
2018/1/29,15,41,29,26,4,7
2018/1/30,56,64,22,35,19,12
2018/1/31,100,80,22,33,9,22
2018/2/1,114,56,31,17,3,6
2018/2/2,66,60,43,30,11,9
2018/2/3,106,58,49,30,6,12
2018/2/4,89,53,52,26,6,9
2018/2/5,82,69,47,38,11,12
2018/2/6,104,75,37,31,5,11
2018/2/7,98,42,30,17,2,6
2018/2/8,55,48,23,27,12,10
2018/2/9,78,38,27,27,9,9
2018/2/10,72,38,29,18,5,11
2018/2/11,57,52,39,25,7,9
2018/2/12,76,70,38,30,17,12
2018/2/13,111,52,32,22,8,9
2018/2/14,69,63,51,25,18,10
2018/2/15,88,81,60,35,8,14
2018/2/16,98,70,42,29,14,10
2018/2/17,95,55,49,27,19,9
2018/2/18,89,52,41,24,3,9
2018/2/19,75,64,14,28,6,9
2018/2/20,89,71,52,34,6,13
2018/2/21,101,70,41,37,5,12
2018/2/22,105,69,48,35,11,13
2018/2/23,107,76,57,35,11,13
2018/2/24,115,40,46,19,10,8
2018/2/25,67,56,35,26,5,10
2018/2/26,77,57,27,28,9,10
2018/2/27,91,80,69,36,5,10
2018/2/28,119,85,41,34,10,11
2018/3/1,111,67,55,24,3,7
2018/3/2,102,63,39,30,22,8
2018/3/3,84,61,10,29,8,12
2018/3/4,87,,,,,
2018/3/7,93,60,2,31,5,10
2018/3/8,82,68,47,34,5,7
2018/3/9,100,64,61,38,5,10
2018/3/10,100,61,50,28,5,8
2018/3/11,83,49,48,22,3,5
2018/3/12,68,63,44,36,13,10
2018/3/13,92,71,58,39,25,11
2018/3/14,117,62,41,35,6,12
2018/3/15,93,70,40,36,7,16
2018/3/16,100,65,44,33,7,11
2018/3/17,94,58,47,27,5,12
2018/3/18,90,53,45,27,5,8
2018/3/19,79,81,44,35,9,12
2018/3/20,102,69,41,28,5,8
2018/3/21,102,65,37,31,19,9
2018/3/22,91,54,31,22,6,7
2018/3/23,65,67,25,27,6,9
2018/3/24,70,54,41,23,5,8
2018/3/25,82,64,45,27,6,10
2018/3/26,91,61,45,26,4,7
2018/3/27,90,64,33,25,4,7
2018/3/28,77,53,42,20,3,8
2018/3/29,77,47,34,15,7,5
2018/3/30,59,33,34,18,7,5
2018/3/31,52,44,36,22,3,7
2017/10/1,18,15,27,14,3,7
2017/10/2,25,22,23,15,2,6
2017/10/3,29,25,18,11,2,6
2017/10/4,28,21,24,10,2,6
2017/10/5,23,23,29,12,5,6
2017/10/6,34,63,52,28,10,13
2017/10/7,88,41,58,22,4,10
2017/10/8,68,,,,,
2017/10/16,21,22,29,14,2,6
2017/10/17,38,52,39,25,4,11
2017/10/18,82,59,5,26,23,14
2017/10/19,93,60,,,,
2017/10/20,80,75,,,,
2017/10/21,96,56,,,,
2017/10/22,70,32,,,,
2017/10/23,39,31,,,,
2017/10/24,38,27,,,,
2017/10/25,44,70,,,,
2017/10/26,105,75,,,,
2017/10/27,108,52,,,,
2017/10/28,76,57,,,,
2017/10/29,93,64,,,,
2017/10/30,106,56,,,,
2017/10/31,101,63,,,,
2017/11/1,98,59,,,,
2017/11/2,99,58,,,,
2017/11/3,74,55,34,,,
2017/11/4,72,50,55,,,
2017/11/5,84,69,42,,,
2017/11/6,83,72,32,32,10,12
2017/11/7,78,76,35,33,12,13
2017/11/8,91,68,38,29,23,10
2017/11/9,104,62,32,23,7,10
2017/11/10,92,44,35,19,4,8
2017/11/11,59,43,36,15,11,8
2017/11/12,63,32,25,12,,5
2017/11/13,29,22,27,11,1,5
2017/11/14,24,61,36,26,15,10
2017/11/15,90,64,33,27,6,11
2017/11/16,78,68,35,28,15,11
2017/11/17,99,81,38,34,11,14
2017/11/18,106,30,28,14,2,7
2017/11/19,48,55,40,24,10,10
2017/11/20,95,77,6,40,8,21
2017/11/21,105,47,38,18,1,6
2017/11/22,50,60,38,30,7,11
2017/11/23,82,85,54,54,7,14
2017/11/24,130,92,70,50,10,17
2017/11/25,134,62,35,28,6,16
2017/11/26,84,52,39,31,11,11
2017/11/27,77,78,57,41,10,16
2017/11/28,121,92,29,35,9,17
2017/11/29,109,68,35,30,7,11
2017/11/30,97,66,20,33,22,11
2017/12/1,101,40,5,36,,12
2017/12/2,50,,,,,
2017/12/5,116,89,50,46,14,14
2017/12/6,119,103,36,37,7,17
2017/12/7,120,67,24,23,3,8
2017/12/8,63,62,30,27,18,8
2017/12/9,77,52,34,26,33,8
2017/12/10,68,79,33,48,31,15
2017/12/11,117,86,33,34,22,16
2017/12/12,112,85,46,49,24,18
2017/12/13,127,151,60,59,14,25
2017/12/14,165,117,31,45,11,22
2017/12/15,124,63,21,28,11,12
2017/12/16,86,53,33,33,5,15
2017/12/17,82,90,33,45,7,21
2017/12/18,130,85,45,39,11,18
2017/12/19,118,102,42,45,7,18
2017/12/20,136,,,,,
2017/7/1,66,46,42,22,2,10
2017/7/2,66,41,32,26,4,11
2017/7/3,70,41,40,35,5,13
2017/7/4,81,44,33,29,3,12
2017/7/5,72,42,30,24,9,10
2017/7/6,65,24,23,16,2,7
2017/7/7,37,24,19,16,3,8
2017/7/8,48,30,17,22,6,11
2017/7/9,64,40,31,30,3,13
2017/7/10,75,43,30,36,3,14
2017/7/11,86,45,41,35,6,14
2017/7/12,95,64,63,37,9,14
2017/7/13,117,56,41,20,3,9
2017/7/14,66,44,42,18,8,7
2017/7/15,58,40,44,23,20,8
2017/7/16,66,57,57,33,3,14
2017/7/17,89,53,38,29,11,9
2017/7/18,86,50,23,23,5,9
