Hora,CO_M,NO2_M,NOx_M,SO2_M,O3_M,TMP_M,DV_M,VV_M,HR_M,CO_P,NO2_P,NOx_P,SO2_P,O3_P,TMP_P,DV_P,VV_P,HR_P,CO_T,NO2_T,NOx_T,SO2_T,O3_T,TMP_T,DV_T,VV_T,HR_T,CO_X,NO2_X,NOx_X,SO2_X,O3_X,TMP_X,DV_X,VV_X,HR_X
21:00 - 22:00,"(1.333, 1.506]","(0.0573, 0.0622]","(0.0729, 0.0891]","(0.000902, 0.00644]","(0.000889, 0.00717]","(15.3, 16.322]","(20.0, 40.0]","(3.244, 4.317]","(55.444, 60.389]","(0.417, 0.522]","(0.0308, 0.0347]","(0.0328, 0.0418]","(0.00456, 0.00811]","(0.0161, 0.0232]","(15.3, 16.267]","(279.222, 299.167]","(9.111, 10.156]","(51.222, 55.444]","(0.644, 0.867]","(0.0412, 0.0461]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.000908, 0.00611]","(14.022, 15.111]","(300.167, 320.111]","(8.572, 9.711]","(44.5, 48.667]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.0187, 0.0232]","(14.322, 15.3]","(40.889, 60.833]","(9.033, 10.506]","(49.889, 54.278]"
22:00 - 23:00,"(1.161, 1.333]","(0.0525, 0.0573]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.000889, 0.00717]","(14.278, 15.3]","(320.0, 340.0]","(6.461, 7.533]","(55.444, 60.389]","(0.417, 0.522]","(0.027, 0.0308]","(0.0239, 0.0328]","(0.00456, 0.00811]","(0.0161, 0.0232]","(15.3, 16.267]","(299.167, 319.111]","(5.978, 7.022]","(51.222, 55.444]","(0.644, 0.867]","(0.0314, 0.0363]","(0.0262, 0.0434]","(0.00744, 0.0139]","(0.00611, 0.0112]","(12.933, 14.022]","(300.167, 320.111]","(8.572, 9.711]","(52.833, 57.0]","(0.589, 0.878]","(0.0335, 0.039]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0141, 0.0187]","(14.322, 15.3]","(40.889, 60.833]","(4.617, 6.089]","(49.889, 54.278]"
23:00 - 0:00,"(0.989, 1.161]","(0.038, 0.0428]","(0.0567, 0.0729]","(0.00644, 0.0119]","(0.000889, 0.00717]","(14.278, 15.3]","(300.0, 320.0]","(7.533, 8.606]","(60.389, 65.333]","(0.417, 0.522]","(0.027, 0.0308]","(0.0239, 0.0328]","(0.00456, 0.00811]","(0.0161, 0.0232]","(14.333, 15.3]","(59.833, 79.778]","(2.844, 3.889]","(59.667, 63.889]","(0.422, 0.644]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.000908, 0.00611]","(12.933, 14.022]","(320.111, 340.056]","(7.433, 8.572]","(52.833, 57.0]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.00956, 0.0141]","(13.344, 14.322]","(60.833, 80.778]","(3.144, 4.617]","(49.889, 54.278]"
0:00 - 1:00,"(0.817, 0.989]","(0.0332, 0.038]","(0.0404, 0.0567]","(0.00644, 0.0119]","(0.000889, 0.00717]","(13.256, 14.278]","(300.0, 320.0]","(7.533, 8.606]","(55.444, 60.389]","(0.311, 0.417]","(0.027, 0.0308]","(0.0239, 0.0328]","(0.00456, 0.00811]","(0.00906, 0.0161]","(13.367, 14.333]","(339.056, 359.0]","(5.978, 7.022]","(55.444, 59.667]","(0.422, 0.644]","(0.0314, 0.0363]","(0.0262, 0.0434]","(0.0139, 0.0203]","(0.000908, 0.00611]","(12.933, 14.022]","(300.167, 320.111]","(6.294, 7.433]","(57.0, 61.167]","(1.167, 1.456]","(0.0445, 0.05]","(0.102, 0.125]","(0.00193, 0.00578]","(0.00492, 0.00956]","(13.344, 14.322]","(200.444, 220.389]","(3.144, 4.617]","(54.278, 58.667]"
1:00 - 2:00,"(0.817, 0.989]","(0.0332, 0.038]","(0.0404, 0.0567]","(0.0119, 0.0173]","(0.000889, 0.00717]","(13.256, 14.278]","(300.0, 320.0]","(2.172, 3.244]","(60.389, 65.333]","(0.311, 0.417]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.00456, 0.00811]","(0.00906, 0.0161]","(12.4, 13.367]","(99.722, 119.667]","(2.844, 3.889]","(59.667, 63.889]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.0332, 0.0397]","(0.000908, 0.00611]","(11.844, 12.933]","(280.222, 300.167]","(4.017, 5.156]","(65.333, 69.5]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.00492, 0.00956]","(13.344, 14.322]","(140.611, 160.556]","(3.144, 4.617]","(54.278, 58.667]"
2:00 - 3:00,"(0.817, 0.989]","(0.0332, 0.038]","(0.0567, 0.0729]","(0.0119, 0.0173]","(0.000889, 0.00717]","(12.233, 13.256]","(60.0, 80.0]","(3.244, 4.317]","(60.389, 65.333]","(0.311, 0.417]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.00456, 0.00811]","(0.00906, 0.0161]","(12.4, 13.367]","(159.556, 179.5]","(1.781, 2.844]","(63.889, 68.111]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.0332, 0.0397]","(0.000908, 0.00611]","(11.844, 12.933]","(300.167, 320.111]","(2.878, 4.017]","(65.333, 69.5]","(0.589, 0.878]","(0.028, 0.0335]","(0.0323, 0.0556]","(0.0133, 0.0171]","(0.00492, 0.00956]","(12.367, 13.344]","(60.833, 80.778]","(4.617, 6.089]","(58.667, 63.056]"
3:00 - 4:00,"(0.989, 1.161]","(0.0283, 0.0332]","(0.0404, 0.0567]","(0.0228, 0.0282]","(0.000889, 0.00717]","(11.211, 12.233]","(80.0, 100.0]","(4.317, 5.389]","(70.278, 75.222]","(0.311, 0.417]","(0.027, 0.0308]","(0.0239, 0.0328]","(0.00456, 0.00811]","(0.00187, 0.00906]","(11.433, 12.4]","(199.444, 219.389]","(1.781, 2.844]","(63.889, 68.111]","(0.644, 0.867]","(0.0314, 0.0363]","(0.0607, 0.0779]","(0.0461, 0.0526]","(0.000908, 0.00611]","(10.756, 11.844]","(280.222, 300.167]","(2.878, 4.017]","(65.333, 69.5]","(0.878, 1.167]","(0.028, 0.0335]","(0.0788, 0.102]","(0.0247, 0.0284]","(0.00492, 0.00956]","(11.389, 12.367]","(60.833, 80.778]","(3.144, 4.617]","(63.056, 67.444]"
4:00 - 5:00,"(1.161, 1.333]","(0.0283, 0.0332]","(0.0567, 0.0729]","(0.0228, 0.0282]","(0.000889, 0.00717]","(11.211, 12.233]","(60.0, 80.0]","(3.244, 4.317]","(75.222, 80.167]","(0.311, 0.417]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.00187, 0.00906]","(11.433, 12.4]","(219.389, 239.333]","(3.889, 4.933]","(68.111, 72.333]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.0203, 0.0268]","(0.000908, 0.00611]","(10.756, 11.844]","(280.222, 300.167]","(4.017, 5.156]","(65.333, 69.5]","(1.167, 1.456]","(0.028, 0.0335]","(0.0788, 0.102]","(0.0398, 0.0436]","(0.00492, 0.00956]","(11.389, 12.367]","(80.778, 100.722]","(0.174, 1.672]","(67.444, 71.833]"
5:00 - 6:00,"(1.161, 1.333]","(0.0283, 0.0332]","(0.0891, 0.105]","(0.0173, 0.0228]","(0.000889, 0.00717]","(10.189, 11.211]","(80.0, 100.0]","(3.244, 4.317]","(75.222, 80.167]","(0.206, 0.311]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.00906, 0.0161]","(10.467, 11.433]","(219.389, 239.333]","(4.933, 5.978]","(68.111, 72.333]","(0.867, 1.089]","(0.0314, 0.0363]","(0.112, 0.13]","(0.0397, 0.0461]","(0.000908, 0.00611]","(10.756, 11.844]","(300.167, 320.111]","(4.017, 5.156]","(69.5, 73.667]","(1.167, 1.456]","(0.028, 0.0335]","(0.0788, 0.102]","(0.0473, 0.0511]","(0.00492, 0.00956]","(10.411, 11.389]","(80.778, 100.722]","(4.617, 6.089]","(71.833, 76.222]"
6:00 - 7:00,"(1.333, 1.506]","(0.0283, 0.0332]","(0.105, 0.122]","(0.0282, 0.0337]","(0.000889, 0.00717]","(10.189, 11.211]","(20.0, 40.0]","(5.389, 6.461]","(80.167, 85.111]","(0.733, 0.839]","(0.027, 0.0308]","(0.0507, 0.0597]","(0.000936, 0.00456]","(0.00187, 0.00906]","(10.467, 11.433]","(199.444, 219.389]","(3.889, 4.933]","(68.111, 72.333]","(1.089, 1.311]","(0.0314, 0.0363]","(0.164, 0.181]","(0.0397, 0.0461]","(0.000908, 0.00611]","(10.756, 11.844]","(300.167, 320.111]","(5.156, 6.294]","(73.667, 77.833]","(1.456, 1.744]","(0.028, 0.0335]","(0.149, 0.172]","(0.0322, 0.036]","(0.00492, 0.00956]","(10.411, 11.389]","(40.889, 60.833]","(6.089, 7.561]","(71.833, 76.222]"
7:00 - 8:00,"(1.85, 2.022]","(0.0283, 0.0332]","(0.138, 0.154]","(0.0228, 0.0282]","(0.000889, 0.00717]","(10.189, 11.211]","(-0.36, 20.0]","(2.172, 3.244]","(80.167, 85.111]","(1.05, 1.156]","(0.0308, 0.0347]","(0.0776, 0.0865]","(0.000936, 0.00456]","(0.00187, 0.00906]","(10.467, 11.433]","(159.556, 179.5]","(2.844, 3.889]","(68.111, 72.333]","(1.311, 1.533]","(0.0314, 0.0363]","(0.164, 0.181]","(0.0332, 0.0397]","(0.000908, 0.00611]","(9.667, 10.756]","(300.167, 320.111]","(6.294, 7.433]","(73.667, 77.833]","(2.033, 2.322]","(0.0335, 0.039]","(0.218, 0.242]","(0.0171, 0.0209]","(0.00492, 0.00956]","(11.389, 12.367]","(40.889, 60.833]","(4.617, 6.089]","(67.444, 71.833]"
8:00 - 9:00,"(1.678, 1.85]","(0.0283, 0.0332]","(0.105, 0.122]","(0.0228, 0.0282]","(0.000889, 0.00717]","(11.211, 12.233]","(-0.36, 20.0]","(3.244, 4.317]","(75.222, 80.167]","(1.261, 1.367]","(0.0347, 0.0385]","(0.104, 0.113]","(0.0117, 0.0152]","(0.00187, 0.00906]","(11.433, 12.4]","(79.778, 99.722]","(1.781, 2.844]","(72.333, 76.556]","(1.756, 1.978]","(0.0314, 0.0363]","(0.181, 0.198]","(0.0332, 0.0397]","(0.000908, 0.00611]","(10.756, 11.844]","(300.167, 320.111]","(4.017, 5.156]","(69.5, 73.667]","(2.033, 2.322]","(0.039, 0.0445]","(0.172, 0.195]","(0.0247, 0.0284]","(0.00492, 0.00956]","(11.389, 12.367]","(40.889, 60.833]","(3.144, 4.617]","(63.056, 67.444]"
9:00 - 10:00,"(1.333, 1.506]","(0.0332, 0.038]","(0.0729, 0.0891]","(0.0119, 0.0173]","(0.0133, 0.0195]","(13.256, 14.278]","(60.0, 80.0]","(3.244, 4.317]","(60.389, 65.333]","(1.05, 1.156]","(0.0385, 0.0423]","(0.0954, 0.104]","(0.0117, 0.0152]","(0.00906, 0.0161]","(12.4, 13.367]","(59.833, 79.778]","(3.889, 4.933]","(63.889, 68.111]","(1.533, 1.756]","(0.051, 0.0559]","(0.147, 0.164]","(0.0397, 0.0461]","(0.00611, 0.0112]","(12.933, 14.022]","(200.444, 220.389]","(1.739, 2.878]","(61.167, 65.333]","(1.167, 1.456]","(0.0335, 0.039]","(0.0788, 0.102]","(0.0171, 0.0209]","(0.0141, 0.0187]","(13.344, 14.322]","(100.722, 120.667]","(4.617, 6.089]","(49.889, 54.278]"
14:00 - 15:00,"(0.472, 0.644]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.075, 0.0812]","(20.411, 21.433]","(160.0, 180.0]","(6.461, 7.533]","(30.722, 35.667]","(0.311, 0.417]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0796, 0.0867]","(19.167, 20.133]","(79.778, 99.722]","(5.978, 7.022]","(34.333, 38.556]","(0.644, 0.867]","(0.0314, 0.0363]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0674, 0.0726]","(20.556, 21.644]","(140.611, 160.556]","(1.739, 2.878]","(27.833, 32.0]","(0.295, 0.589]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0688, 0.0733]","(20.189, 21.167]","(140.611, 160.556]","(3.144, 4.617]","(23.556, 27.944]"
15:00 - 16:00,"(0.472, 0.644]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.075, 0.0812]","(20.411, 21.433]","(160.0, 180.0]","(8.606, 9.678]","(25.778, 30.722]","(0.311, 0.417]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0796, 0.0867]","(19.167, 20.133]","(79.778, 99.722]","(5.978, 7.022]","(30.111, 34.333]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0572, 0.0623]","(20.556, 21.644]","(180.5, 200.444]","(1.739, 2.878]","(27.833, 32.0]","(0.589, 0.878]","(0.0335, 0.039]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0642, 0.0688]","(20.189, 21.167]","(0.641, 20.944]","(3.144, 4.617]","(23.556, 27.944]"
16:00 - 17:00,"(0.472, 0.644]","(0.0283, 0.0332]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0565, 0.0627]","(20.411, 21.433]","(160.0, 180.0]","(6.461, 7.533]","(30.722, 35.667]","(0.311, 0.417]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0726, 0.0796]","(19.167, 20.133]","(119.667, 139.611]","(3.889, 4.933]","(30.111, 34.333]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0521, 0.0572]","(19.467, 20.556]","(180.5, 200.444]","(4.017, 5.156]","(27.833, 32.0]","(0.878, 1.167]","(0.0445, 0.05]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0551, 0.0597]","(19.211, 20.189]","(40.889, 60.833]","(13.45, 14.922]","(27.944, 32.333]"
17:00 - 18:00,"(0.472, 0.644]","(0.0187, 0.0235]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0503, 0.0565]","(20.411, 21.433]","(140.0, 160.0]","(8.606, 9.678]","(30.722, 35.667]","(0.311, 0.417]","(0.0193, 0.0232]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0655, 0.0726]","(19.167, 20.133]","(219.389, 239.333]","(4.933, 5.978]","(34.333, 38.556]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0419, 0.047]","(19.467, 20.556]","(240.333, 260.278]","(10.85, 11.989]","(27.833, 32.0]","(0.589, 0.878]","(0.0225, 0.028]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0414, 0.046]","(19.211, 20.189]","(120.667, 140.611]","(19.339, 20.811]","(27.944, 32.333]"
18:00 - 19:00,"(0.644, 0.817]","(0.0332, 0.038]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0195, 0.0257]","(18.367, 19.389]","(160.0, 180.0]","(8.606, 9.678]","(35.667, 40.611]","(0.206, 0.311]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0373, 0.0443]","(17.233, 18.2]","(199.444, 219.389]","(11.2, 12.244]","(38.556, 42.778]","(0.644, 0.867]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.0214, 0.0266]","(18.378, 19.467]","(220.389, 240.333]","(5.156, 6.294]","(32.0, 36.167]","(0.589, 0.878]","(0.0335, 0.039]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0232, 0.0278]","(18.233, 19.211]","(120.667, 140.611]","(16.394, 17.867]","(32.333, 36.722]"
19:00 - 20:00,"(0.644, 0.817]","(0.0332, 0.038]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0133, 0.0195]","(17.344, 18.367]","(140.0, 160.0]","(4.317, 5.389]","(40.611, 45.556]","(0.206, 0.311]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0302, 0.0373]","(16.267, 17.233]","(199.444, 219.389]","(11.2, 12.244]","(42.778, 47.0]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0163, 0.0214]","(20.556, 21.644]","(220.389, 240.333]","(5.156, 6.294]","(36.167, 40.333]","(0.589, 0.878]","(0.0335, 0.039]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0187, 0.0232]","(17.256, 18.233]","(140.611, 160.556]","(11.978, 13.45]","(36.722, 41.111]"
20:00 - 21:00,"(0.644, 0.817]","(0.038, 0.0428]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0133, 0.0195]","(16.322, 17.344]","(100.0, 120.0]","(5.389, 6.461]","(45.556, 50.5]","(0.311, 0.417]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0232, 0.0302]","(15.3, 16.267]","(159.556, 179.5]","(4.933, 5.978]","(42.778, 47.0]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0163, 0.0214]","(17.289, 18.378]","(260.278, 280.222]","(4.017, 5.156]","(40.333, 44.5]","(0.589, 0.878]","(0.039, 0.0445]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0141, 0.0187]","(17.256, 18.233]","(140.611, 160.556]","(9.033, 10.506]","(36.722, 41.111]"
21:00 - 22:00,"(0.817, 0.989]","(0.0477, 0.0525]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.000889, 0.00717]","(16.322, 17.344]","(60.0, 80.0]","(4.317, 5.389]","(45.556, 50.5]","(0.839, 0.944]","(0.0423, 0.0462]","(0.0507, 0.0597]","(0.000936, 0.00456]","(0.00187, 0.00906]","(14.333, 15.3]","(259.278, 279.222]","(3.889, 4.933]","(51.222, 55.444]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0163, 0.0214]","(16.2, 17.289]","(100.722, 120.667]","(1.739, 2.878]","(40.333, 44.5]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.00956, 0.0141]","(16.278, 17.256]","(120.667, 140.611]","(6.089, 7.561]","(36.722, 41.111]"
22:00 - 23:00,"(0.989, 1.161]","(0.0477, 0.0525]","(0.0891, 0.105]","(0.000902, 0.00644]","(0.000889, 0.00717]","(15.3, 16.322]","(60.0, 80.0]","(3.244, 4.317]","(45.556, 50.5]","(0.628, 0.733]","(0.0347, 0.0385]","(0.0418, 0.0507]","(0.000936, 0.00456]","(0.00187, 0.00906]","(14.333, 15.3]","(259.278, 279.222]","(4.933, 5.978]","(47.0, 51.222]","(0.644, 0.867]","(0.0363, 0.0412]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.00611, 0.0112]","(15.111, 16.2]","(160.556, 180.5]","(1.739, 2.878]","(44.5, 48.667]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.00956, 0.0141]","(16.278, 17.256]","(220.389, 240.333]","(3.144, 4.617]","(41.111, 45.5]"
23:00 - 0:00,"(0.989, 1.161]","(0.0477, 0.0525]","(0.0891, 0.105]","(0.000902, 0.00644]","(0.000889, 0.00717]","(15.3, 16.322]","(60.0, 80.0]","(3.244, 4.317]","(45.556, 50.5]","(0.628, 0.733]","(0.0347, 0.0385]","(0.0418, 0.0507]","(0.000936, 0.00456]","(0.00187, 0.00906]","(14.333, 15.3]","(259.278, 279.222]","(4.933, 5.978]","(47.0, 51.222]","(0.644, 0.867]","(0.0363, 0.0412]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.00611, 0.0112]","(15.111, 16.2]","(160.556, 180.5]","(1.739, 2.878]","(44.5, 48.667]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.00956, 0.0141]","(16.278, 17.256]","(220.389, 240.333]","(3.144, 4.617]","(41.111, 45.5]"
4:00 - 5:00,"(0.644, 0.817]","(0.0332, 0.038]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.000889, 0.00717]","(12.233, 13.256]","(220.0, 240.0]","(3.244, 4.317]","(50.5, 55.444]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0232, 0.0302]","(11.433, 12.4]","(199.444, 219.389]","(7.022, 8.067]","(38.556, 42.778]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.000908, 0.00611]","(10.756, 11.844]","(240.333, 260.278]","(4.017, 5.156]","(52.833, 57.0]","(1.167, 1.456]","(0.0335, 0.039]","(0.102, 0.125]","(0.00578, 0.00956]","(0.00492, 0.00956]","(12.367, 13.344]","(160.556, 180.5]","(0.174, 1.672]","(54.278, 58.667]"
5:00 - 6:00,"(1.333, 1.506]","(0.0332, 0.038]","(0.122, 0.138]","(0.000902, 0.00644]","(0.000889, 0.00717]","(10.189, 11.211]","(160.0, 180.0]","(3.244, 4.317]","(60.389, 65.333]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0232, 0.0302]","(10.467, 11.433]","(219.389, 239.333]","(7.022, 8.067]","(42.778, 47.0]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.000908, 0.00611]","(9.667, 10.756]","(220.389, 240.333]","(1.739, 2.878]","(52.833, 57.0]","(1.167, 1.456]","(0.0335, 0.039]","(0.125, 0.149]","(0.00578, 0.00956]","(0.00492, 0.00956]","(10.411, 11.389]","(60.833, 80.778]","(1.672, 3.144]","(58.667, 63.056]"
6:00 - 7:00,"(1.333, 1.506]","(0.0332, 0.038]","(0.122, 0.138]","(0.000902, 0.00644]","(0.000889, 0.00717]","(10.189, 11.211]","(160.0, 180.0]","(3.244, 4.317]","(60.389, 65.333]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0232, 0.0302]","(10.467, 11.433]","(219.389, 239.333]","(7.022, 8.067]","(42.778, 47.0]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.000908, 0.00611]","(9.667, 10.756]","(220.389, 240.333]","(1.739, 2.878]","(52.833, 57.0]","(1.167, 1.456]","(0.0335, 0.039]","(0.125, 0.149]","(0.00578, 0.00956]","(0.00492, 0.00956]","(10.411, 11.389]","(60.833, 80.778]","(1.672, 3.144]","(58.667, 63.056]"
7:00 - 8:00,"(1.333, 1.506]","(0.0332, 0.038]","(0.122, 0.138]","(0.000902, 0.00644]","(0.000889, 0.00717]","(10.189, 11.211]","(180.0, 200.0]","(4.317, 5.389]","(55.444, 60.389]","(0.0981, 0.206]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0161, 0.0232]","(9.5, 10.467]","(219.389, 239.333]","(7.022, 8.067]","(38.556, 42.778]","(1.089, 1.311]","(0.0266, 0.0314]","(0.13, 0.147]","(0.000884, 0.00744]","(0.000908, 0.00611]","(8.578, 9.667]","(240.333, 260.278]","(1.739, 2.878]","(52.833, 57.0]","(2.322, 2.611]","(0.0335, 0.039]","(0.288, 0.312]","(0.00956, 0.0133]","(0.00492, 0.00956]","(10.411, 11.389]","(220.389, 240.333]","(4.617, 6.089]","(63.056, 67.444]"
8:00 - 9:00,"(1.678, 1.85]","(0.038, 0.0428]","(0.17, 0.186]","(0.000902, 0.00644]","(0.000889, 0.00717]","(10.189, 11.211]","(180.0, 200.0]","(2.172, 3.244]","(55.444, 60.389]","(0.206, 0.311]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0161, 0.0232]","(9.5, 10.467]","(219.389, 239.333]","(8.067, 9.111]","(42.778, 47.0]","(1.089, 1.311]","(0.0314, 0.0363]","(0.147, 0.164]","(0.000884, 0.00744]","(0.000908, 0.00611]","(8.578, 9.667]","(260.278, 280.222]","(4.017, 5.156]","(52.833, 57.0]","(2.322, 2.611]","(0.039, 0.0445]","(0.242, 0.265]","(0.00956, 0.0133]","(0.00492, 0.00956]","(10.411, 11.389]","(0.641, 20.944]","(4.617, 6.089]","(58.667, 63.056]"
9:00 - 10:00,"(2.022, 2.194]","(0.0477, 0.0525]","(0.235, 0.251]","(0.00644, 0.0119]","(0.000889, 0.00717]","(11.211, 12.233]","(20.0, 40.0]","(4.317, 5.389]","(60.389, 65.333]","(0.628, 0.733]","(0.027, 0.0308]","(0.0686, 0.0776]","(0.000936, 0.00456]","(0.00906, 0.0161]","(11.433, 12.4]","(-0.359, 19.944]","(4.933, 5.978]","(38.556, 42.778]","(1.533, 1.756]","(0.0412, 0.0461]","(0.216, 0.233]","(0.00744, 0.0139]","(0.000908, 0.00611]","(9.667, 10.756]","(300.167, 320.111]","(9.711, 10.85]","(48.667, 52.833]","(1.456, 1.744]","(0.039, 0.0445]","(0.172, 0.195]","(0.00578, 0.00956]","(0.00492, 0.00956]","(12.367, 13.344]","(40.889, 60.833]","(4.617, 6.089]","(49.889, 54.278]"
10:00 - 11:00,"(1.678, 1.85]","(0.067, 0.0718]","(0.17, 0.186]","(0.00644, 0.0119]","(0.00717, 0.0133]","(13.256, 14.278]","(40.0, 60.0]","(3.244, 4.317]","(50.5, 55.444]","(0.839, 0.944]","(0.0385, 0.0423]","(0.0954, 0.104]","(0.000936, 0.00456]","(0.00906, 0.0161]","(13.367, 14.333]","(19.944, 39.889]","(7.022, 8.067]","(42.778, 47.0]","(1.089, 1.311]","(0.0314, 0.0363]","(0.0951, 0.112]","(0.000884, 0.00744]","(0.00611, 0.0112]","(12.933, 14.022]","(300.167, 320.111]","(9.711, 10.85]","(44.5, 48.667]","(1.744, 2.033]","(0.0555, 0.061]","(0.149, 0.172]","(0.00578, 0.00956]","(0.00956, 0.0141]","(13.344, 14.322]","(180.5, 200.444]","(7.561, 9.033]","(45.5, 49.889]"
11:00 - 12:00,"(1.161, 1.333]","(0.0622, 0.067]","(0.122, 0.138]","(0.000902, 0.00644]","(0.0195, 0.0257]","(15.3, 16.322]","(160.0, 180.0]","(4.317, 5.389]","(40.611, 45.556]","(0.733, 0.839]","(0.0423, 0.0462]","(0.0776, 0.0865]","(0.000936, 0.00456]","(0.0232, 0.0302]","(14.333, 15.3]","(19.944, 39.889]","(5.978, 7.022]","(38.556, 42.778]","(0.867, 1.089]","(0.0363, 0.0412]","(0.0779, 0.0951]","(0.0203, 0.0268]","(0.0163, 0.0214]","(15.111, 16.2]","(340.056, 360.0]","(9.711, 10.85]","(36.167, 40.333]","(1.167, 1.456]","(0.0555, 0.061]","(0.102, 0.125]","(0.00956, 0.0133]","(0.0232, 0.0278]","(15.3, 16.278]","(160.556, 180.5]","(1.672, 3.144]","(36.722, 41.111]"
