date,pm25,pm10,o3,no2,so2,co
2018/7/13,13,41,56,33,3,11
2018/7/14,91,54,65,21,3,7
2018/7/15,84,68,52,30,14,8
2018/7/16,105,43,46,25,9,7
2018/7/17,79,39,56,25,7,7
2018/7/18,71,40,51,28,12,7
2018/7/19,65,35,43,26,5,7
2018/7/20,59,32,38,24,3,6
2018/7/21,59,43,66,20,8,5
2018/7/22,74,46,66,28,9,7
2018/7/23,69,45,54,26,4,7
2018/7/24,58,42,46,31,5,8
2018/7/25,56,44,68,36,4,9
2018/7/26,73,43,55,38,5,10
2018/7/27,78,30,52,28,9,8
2018/7/28,63,32,12,37,4,10
2018/7/29,59,36,46,27,6,8
2018/7/30,57,38,56,30,4,8
2018/7/31,70,24,36,23,3,6
2018/8/1,47,20,31,19,3,6
2018/8/2,35,18,35,20,2,6
2018/8/3,38,28,26,27,5,8
2018/8/4,65,19,42,21,3,7
2018/8/5,44,20,27,23,4,9
2018/8/6,44,35,46,26,7,10
2018/8/7,72,41,54,29,11,10
2018/8/8,83,42,47,28,5,9
2018/8/9,84,36,51,32,5,10
2018/8/10,81,34,57,30,4,9
2018/8/11,81,28,33,29,3,9
2018/8/12,71,29,51,35,4,12
2018/8/13,66,39,61,27,9,11
2018/8/14,77,43,45,33,8,12
2018/8/15,84,38,50,35,4,12
2018/8/16,79,38,66,33,5,10
2018/8/17,72,33,43,26,3,8
2018/8/18,70,27,72,21,4,7
2018/8/19,61,29,40,25,5,8
2018/8/20,57,30,28,29,5,9
2018/8/21,55,33,15,26,4,9
2018/8/22,60,31,41,26,10,7
2018/8/23,69,,48,29,3,8
2018/9/11,78,39,63,33,5,9
2018/9/12,93,31,43,34,3,10
2018/9/13,71,43,25,30,5,9
2018/9/14,79,30,37,26,,7
2018/9/15,57,39,40,27,,7
2018/9/16,91,35,37,31,,9
2018/9/17,74,50,47,37,4,11
2018/9/18,101,44,55,31,10,9
2018/9/19,90,37,,23,7,7
2018/9/20,67,35,50,25,3,8
2018/9/21,60,30,42,25,5,7
2018/9/22,69,26,36,20,9,7
2018/9/23,62,36,43,24,2,9
2018/9/24,71,35,42,26,8,8
